Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,18,9,0.667,64.5,0.536,0.487,9700,8151,1549,13,3,5,6,5,4,15,8,15,9,3,0,0,0
Glory Carriers,Aftermath,US,AM,19,11,0.633,18.8,0.575,0.567,9505,9055,450,11,4,8,7,9,4,16,11,13,11,6,0,0,0
Twintuition,Aftermath,US,AM,16,9,0.64,134.2,0.482,0.468,10317,7499,2818,7,4,9,5,7,4,14,8,15,6,1,3,0,0
Mad Setters,Aftermath,US,AM,1,28,0.033,-355.3,0.544,0.0,1245,3732,-2487,0,14,1,14,0,12,0,25,0,7,1,21,1,0
PG2020,Aftermath,US,AM,17,10,0.63,-17.6,0.542,0.475,8598,8985,-387,11,1,6,9,7,4,16,9,12,10,5,0,0,0
Double Ds,Ruff Ryders,US,RR,7,20,0.259,-147.6,0.608,0.638,8343,11591,-3248,3,10,4,10,2,9,6,18,2,20,5,0,0,0
Gotham Knights,Ruff Ryders,US,RR,14,14,0.5,-25.6,0.558,0.401,10773,11412,-639,7,6,7,8,7,4,12,13,11,14,3,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,19,10,0.655,-41.0,0.534,0.471,8937,9921,-984,10,7,9,3,8,5,17,9,14,10,5,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,18,10,0.643,94.0,0.564,0.529,9566,7309,2257,9,5,9,5,8,4,18,9,15,9,3,1,0,0
Miller Time,Ruff Ryders,US,RR,12,15,0.444,-31.1,0.592,0.516,10281,11059,-778,7,7,5,8,4,7,11,13,10,15,2,0,0,0
Chaos Control,State Property,US,SP,20,8,0.714,184.9,0.512,0.459,10608,6355,4253,9,4,11,4,7,5,17,8,15,8,5,0,0,0
House of Minicks,State Property,US,SP,1,23,0.038,-316.4,0.644,0.714,1776,4624,-2848,0,9,1,14,1,11,1,21,1,8,0,15,2,0
PGs Finest,State Property,US,SP,10,20,0.333,-206.2,0.58,0.459,5762,10298,-4536,6,9,4,11,6,6,10,17,7,15,3,5,0,0
TC Tricksters,State Property,US,SP,23,8,0.742,104.3,0.53,0.518,10223,7615,2608,12,3,11,5,7,5,17,8,17,8,6,0,0,0
Team Bui,State Property,US,SP,18,9,0.667,69.5,0.642,0.656,8997,7607,1390,11,4,7,5,9,3,16,9,11,9,7,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,4,24,0.125,-182.8,0.554,0.406,1331,2245,-914,2,15,2,9,1,9,4,21,1,4,3,20,4,0
Kimasha,Death Row,THEM,DR,18,9,0.667,-50.8,0.59,0.592,7056,8022,-966,10,4,8,5,8,2,17,8,10,9,8,0,0,0
Star Studded,Death Row,THEM,DR,19,8,0.704,7.8,0.618,0.559,7125,6993,132,9,3,10,5,9,4,16,8,9,8,10,0,0,0
That Couple,Death Row,THEM,DR,24,7,0.774,102.6,0.607,0.577,9432,7277,2155,12,3,12,4,8,4,21,7,14,7,10,0,0,0
StickemUp,Death Row,THEM,DR,6,22,0.207,-93.2,0.633,0.679,3666,4505,-839,3,12,3,10,2,9,6,20,2,7,4,15,1,0
M2S,No Limit,THEM,NL,19,11,0.633,22.9,0.594,0.495,8161,7681,480,6,8,13,3,7,4,18,9,11,10,8,1,0,0
Team 2 Beat,No Limit,THEM,NL,18,8,0.692,102.5,0.498,0.422,8405,6458,1947,11,4,7,4,7,4,16,8,12,7,6,1,0,0
Cutting Cuzzins,No Limit,THEM,NL,1,26,0.032,-376.2,0.657,0.0,1076,3333,-2257,1,12,0,14,0,11,1,22,0,6,1,20,4,0
Toshiba Auggie,No Limit,THEM,NL,18,8,0.692,92.8,0.562,0.558,8796,7032,1764,8,3,10,5,8,2,16,7,11,8,7,0,0,0
Us,No Limit,THEM,NL,14,12,0.519,-55.9,0.606,0.493,6238,7076,-838,6,8,8,4,5,6,14,10,7,8,7,4,1,0
Brick City,Roc-A-Fella,THEM,RF,4,20,0.148,103.0,0.623,0.598,2543,1925,618,3,10,1,10,2,9,2,18,4,2,0,18,3,0
Croatias Best,Roc-A-Fella,THEM,RF,5,19,0.179,-68.0,0.704,0.692,813,949,-136,1,9,4,10,2,7,5,16,1,1,4,18,4,0
Gerow Animals,Roc-A-Fella,THEM,RF,20,8,0.714,42.3,0.559,0.556,7228,6467,761,12,3,8,5,7,4,19,6,10,8,10,0,0,0
Takers,Roc-A-Fella,THEM,RF,13,19,0.406,-201.6,0.552,0.448,5688,10123,-4435,6,9,7,10,6,5,12,16,7,15,6,4,0,0
Dubs,Roc-A-Fella,THEM,RF,19,10,0.655,141.4,0.543,0.43,10477,7367,3110,10,6,9,4,9,1,17,8,12,10,7,0,0,0
